id,brand,model,reference_number,size_mm,factory,serial_number,clasp_code
RO-OP-126000,Rolex,Oyster Perpetual,126000,36,CF,****N1K9,5ZS
RO-OP-126000,Rolex,Oyster Perpetual,126000,36,VSF,T11Y****,U7T
RO-OP-124300,Rolex,Oyster Perpetual,124300,41,CF,2*Z***Q8,U9G
RO-OP-124300,Rolex,Oyster Perpetual,124300,41,VSF,Z10Y****,989
RO-DJ-126234,Rolex,Datejust,126234,36,CF,"6R87Y*** 5L67K***
1P****K5 (v1)","F6U
Z5D"
RO-DJ-126234,Rolex,Datejust,126234,36,VSF,R86Z****,"P2K
1RD
K6G
705"
RO-DJ-126234,Rolex,Datejust,126234,36,GMF,49GC****,7QE
RO-DJ-126334,Rolex,Datejust,126334,41,CF,"Z59T****
6R****V6
6A****V6
1P****K5 (V1)",ORV
RO-DJ-126334,Rolex,Datejust,126334,41,VSF,Z66E****,"K6G
K5G"
RO-EXP-124270,Rolex,Explorer,124270,36,CF,8H6W****,5ZR
RO-EXP-124270,Rolex,Explorer,124270,36,VSF,"5R04W***
M15X****","TL11
H5X"
RO-EXP-214270,Rolex,Explorer,214270,39,CF,34Y6****,R3L
RO-EXP-224270,Rolex,Explorer,224270,40,CF,****E5J7,K6V
RO-EXP-224270,Rolex,Explorer,224270,40,VSF,H13J****,U7T
RO-SUB-116610LN,Rolex,Submariner,116610LN/LV,40,CF,R6****V6,5HF
RO-SUB-116610LN,Rolex,Submariner,116610LN/LV,40,VSF,"K25Y****
S19V****
S29V****
S39V****
K28S****
Q66T****",7GJ
RO-SUB-114060,Rolex,Submariner,114060,40,CF,"6R****V6
49****W9",5HF
RO-SUB-114060,Rolex,Submariner,114060,40,VSF,"A01X****
K25Y****",7GJ
RO-SUB-126610LN,Rolex,Submariner,126610LN/LV,41,CF,"6R****V6
XN77****","F80
1LD"
RO-SUB-126610LN,Rolex,Submariner,126610LN/LV,41,VSF,"2R8S****
Q66T****
2R9*X***","3VV
1LQ"
RO-SUB-124060,Rolex,Submariner,124060,41,CF,6R****V6,F80
RO-SUB-124060,Rolex,Submariner,124060,41,VSF,Q66T****,3VV
RO-AK-126900,Rolex,Air-King,126900,,CF,5UU0****,6WP
RO-AK-126900,Rolex,Air-King,126900,,VSF,1QK1****,UZ2
RO-AK-126900,Rolex,Air-King,126900,,GMF,7MC5****,N9N
RO-YM-226659,Rolex,Yacht-Master,226659 / 226658,42,CF,W478****,1PD
RO-YM-226659,Rolex,Yacht-Master,226659 / 226658,42,VSF,8G62****,W5T
RO-YM-226627,Rolex,Yacht-Master,226627,42,TW+,FB1A****,Y8C
RO-YM-226627,Rolex,Yacht-Master,226627,42,CF,274R****,4JK
RO-YM-126622,Rolex,Yacht-Master,126622,40,CF,"031E****
686R****","E4F
E4P"
RO-YM-126622,Rolex,Yacht-Master,126622,40,VSF,X3Y6****,2WP
RO-SEA-126600,Rolex,Sea-Dweller,126600,43,CF,2K6J****,1PD
RO-SEA-126600,Rolex,Sea-Dweller,126600,43,VSF,2K6J****,7QE
RO-EXP-226570,Rolex,Explorer II,226570,42,CF,J8****L9,8GY
RO-EXP-226570,Rolex,Explorer II,226570,42,GMF,****X273,"4AZ
N9N"
RO-GMT-116710LN ,Rolex,GMT-Master,116710LN / 126710 blnr / blro / vtnr / grnr,40,CF,"****Y2L3
****L2L6
****L6V6
****Y2L6","1NQ
F6U"
RO-GMT-116710LN ,Rolex,GMT-Master,116710LN / 126710 blnr / blro / vtnr / grnr,40,ARF,****L6V6,F6U
RO-GMT-116710LN ,Rolex,GMT-Master,116710LN / 126710 blnr / blro / vtnr / grnr,40,VSF,****Y2L3,A9A
RO-DAY-116520,Rolex,Daytona,116520,40,CF,"216W****
****LV66",7CD
RO-DAY-116500,Rolex,Daytona,116500,40,CF,****LV66,7CD
RO-DAY-116500,Rolex,Daytona,116500,40,VSF,"Q66T****
0XJ2****
****LV66
H88F****","7CD
3XU
W5Y
RP9"
RO-DAY-116500,Rolex,Daytona,116500,40,BTF,"V4****P5
V5****P5",W5Y
RO-DAY-126500,Rolex,Daytona,126500,40,CF,OXJ2****,M5X
RO-DAY-126500,Rolex,Daytona,126500,40,VSF,"Q66T****
0XJ2****
****LV66
H88F****","7CD
3XU
W5Y
RP9"
RO-DAY-116503,Rolex,Daytona,116503,40,CF,216W****,7CD
RO-DAY-116503,Rolex,Daytona,116503,40,BTF,V3****P5,W5Y
RO-DAY-116506,Rolex,Daytona,116506,40,CF,"8R****Y8
OXJ2****",0WH
RO-DAY-116506,Rolex,Daytona,116506,40,BTF,****J558,W5Y
RO-DAY-126503,Rolex,Daytona,126503,40,CF,,W7R
RO-DAY-126518,Rolex,Daytona,126518,40,CF,OXJ2****,7CD
RO-DAY-126515,Rolex,Daytona,126515,40,CF,OXJ2****,7CD
RO-DAY-126519,Rolex,Daytona,126519,40,CF,OXJ2****,7CD
RO-DAY-126519,Rolex,Daytona,126519,40,VSF,"H88F****
W18T****",7CD
RO-DAY-126529,Rolex,Daytona,126529,40,QF,VS96****,"N9C
T1G"
RO-DAY-126506,Rolex,Daytona,126506,40,CF,OXJ2****,O7H
RO-DAY-126506,Rolex,Daytona,126506,40,VSF,"H88F****
W18T****",V8S
RO-DAY-126506,Rolex,Daytona,126506,40,QF,VS96****,VSP
