id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
AP-RO-15500,Audemars Piguet,Royal Oak,15500,35000,41,10.4,Date,APSF,,4302 Clone,518,4.5,,https://www.christies.com/img/LotImages/2024/NYR/2024_NYR_23091_0228_000(audemars_piguet_stainless_steel_royal_oak_ref_15500st114928).jpg
AP-RO-15500,Audemars Piguet,Royal Oak,15500,35000,41,10.4,Date,ZF,v3,4302 Clone,468,4.0,,https://img.chrono24.com/images/uhren/41995429-x3o7ecvycz0pzydpdvgpkaga-Square280.jpg
AP-RO-15510,Audemars Piguet,Royal Oak,15510,30000,41,10.4,Date,TOPF,,DD4302,,4.5,,https://luxurywatchesusa.com/wp-content/uploads/2022/07/AP-15510ST-white-1200x1200-cropped.jpg
AP-RO-15510,Audemars Piguet,Royal Oak,15510,30000,41,10.4,Date,DDF,,DD4302,,4.5,,https://luxurywatchesusa.com/wp-content/uploads/2022/07/AP-15510ST-white-1200x1200-cropped.jpg
AP-RO-15510,Audemars Piguet,Royal Oak,15510,30000,41,10.4,Date,APSF,,4302 Clone,,4.5,,https://luxurywatchesusa.com/wp-content/uploads/2022/07/AP-15510ST-white-1200x1200-cropped.jpg
AP-RO-15510,Audemars Piguet,Royal Oak,15510,30000,41,10.4,Date,ZF,,4302 Clone,,4.0,,https://img.chrono24.com/images/uhren/26227360-3d5enayw4uflubhyajc3awvt-Square280.jpg
AP-RO-15400,Audemars Piguet,Royal Oak,15400,50000,41,9.8,Date,APSF,,3120 Clone,,4.5,,https://cdn.watchcharts.com/listings/bc7365b7-225b-4204-a44d-4457d068bab7.jpg?d=600x600
AP-RO-15400,Audemars Piguet,Royal Oak,15400,50000,41,9.8,Date,ZF,,3120 Clone,,4.0,,https://img.chrono24.com/images/uhren/40332574-e6avciikyo34l1iq7304yqvb-Square280.jpg
AP-RO-15400RG,Audemars Piguet,Royal Oak,15400,50000,41,9.8,Date,APSF,,3120 Clone,,4.5,Rose gold weighted,https://www.dealerclocks.io/wp-content/uploads/2017/11/products-Audemars_Piguet_AP_Royal_Oak_15400_Rose_Gold_White_Dial_replica_1-1024x1024.jpg
AP-RO-15410TX,Audemars Piguet,Royal Oak,15410,26000,41,10.4,Date,APSF,,3120 Clone,,4.5,textured bracelet,https://a.1stdibscdn.com/audemars-piguet-royal-oak-41mm-frosted-blue-dial-white-gold-watch-15410bc-for-sale/j_17711/j_200671621691753500784/j_20067162_1691753501188_bg_processed.jpg?disable=upscale&auto=webp&quality=60&width=610
